Price,Journey_day,Journey_month,Dep_hour,Dep_min,Arr_hour,Arr_min,Duration_hrs,Duration_mins,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Stops
9663,9,5,21,10,9,20,12,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4804,24,4,17,15,19,50,2,35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14011,3,3,16,40,19,15,26,35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
5830,15,4,8,45,13,15,4,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
10262,12,6,14,0,12,35,22,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
13381,12,6,20,15,19,15,23,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
12898,27,5,16,0,12,35,20,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
19495,6,3,14,10,19,20,5,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
6955,21,3,22,0,13,20,15,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3943,3,4,4,0,6,50,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4823,1,5,18,55,21,50,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7757,6,5,18,55,8,15,13,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
13292,9,6,21,25,12,35,15,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
8238,1,6,21,50,3,35,5,45,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
7682,15,5,7,0,12,55,5,55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
4668,18,6,9,45,12,35,2,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3687,15,6,7,5,9,20,2,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
3687,18,6,7,5,9,20,2,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
13227,1,5,9,50,23,15,13,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
4423,6,4,4,0,6,50,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10919,15,6,14,35,12,35,22,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
12373,18,5,7,5,12,35,5,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
5894,27,6,10,35,21,0,10,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
4649,21,5,15,5,20,20,5,15,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
6245,18,5,14,15,16,45,2,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19225,6,3,7,0,13,15,6,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
14924,3,6,7,5,19,0,11,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
9646,21,5,7,5,18,10,11,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
8714,15,3,6,45,15,15,8,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
12373,18,5,20,55,19,0,22,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3383,6,5,11,10,13,55,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13062,21,3,9,0,21,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3527,24,3,5,45,8,35,2,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3943,27,5,4,0,6,50,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4667,3,5,11,40,13,55,2,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
6117,15,5,19,0,11,5,16,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11150,27,6,23,5,19,0,19,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
7202,9,3,11,0,14,15,3,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
12121,1,5,9,35,10,55,25,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4377,24,3,22,20,1,10,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3943,18,6,21,15,0,15,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4483,3,4,23,55,2,45,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14231,24,3,19,45,12,0,16,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
17345,1,3,8,50,23,55,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
7414,6,3,7,5,9,20,2,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
8073,6,5,19,0,1,30,6,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
12395,6,3,15,40,16,45,25,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
8366,6,6,9,25,21,50,12,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5117,3,4,6,5,9,25,27,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
12524,3,6,8,45,19,0,10,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
7191,15,5,15,0,1,30,10,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3687,24,5,7,5,9,20,2,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
5894,24,6,10,35,21,0,10,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
5403,24,4,9,45,12,35,2,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3625,6,5,13,55,15,25,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
10861,21,5,5,55,19,15,13,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
6297,12,3,13,20,15,35,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
5678,1,6,7,5,8,30,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9134,9,3,5,45,8,15,26,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10791,24,6,11,40,19,0,7,20,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
12819,24,6,23,5,12,35,13,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
6893,21,3,5,5,10,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
7240,9,3,9,50,12,35,2,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3898,3,4,11,40,14,30,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4049,3,4,6,25,7,55,1,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
10262,15,6,17,30,12,35,19,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3332,21,3,8,20,10,35,2,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
10844,9,6,21,10,12,0,14,50,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7229,24,3,19,55,22,35,2,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13941,6,5,6,30,4,40,22,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5894,27,6,11,25,21,0,9,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
10197,18,5,9,0,19,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
13712,6,3,14,5,11,25,21,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5636,24,6,2,0,7,25,5,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
13014,6,6,9,40,4,25,18,45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
7064,1,4,8,25,20,45,12,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10703,24,5,20,25,14,25,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
9646,27,5,13,15,22,30,9,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
17057,6,3,2,15,13,20,11,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
13817,12,3,16,55,10,25,17,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13748,6,3,5,55,19,15,13,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
4880,21,4,20,45,23,20,2,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3540,21,6,5,15,7,40,2,25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3257,15,5,5,55,8,35,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6478,3,6,19,50,22,50,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8040,18,6,7,5,8,30,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
14300,12,6,20,0,12,35,16,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
14781,15,5,8,25,20,45,12,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
14939,9,6,20,0,8,15,12,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10262,24,6,20,55,4,25,7,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
6528,12,5,14,35,14,35,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6121,1,5,6,10,8,55,2,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13029,18,5,19,30,4,25,8,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
11421,27,3,11,40,18,50,7,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
7574,27,3,4,45,19,15,14,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
11596,9,5,12,55,19,15,30,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
15129,24,5,23,5,19,0,19,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
13555,18,3,14,5,5,5,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5780,12,4,18,55,21,50,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9397,12,5,20,20,9,5,12,45,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
17024,6,3,18,15,4,25,10,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
5281,27,6,7,0,12,55,5,55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
10348,18,5,7,5,22,30,15,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
12677,6,3,17,20,9,25,16,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
15147,3,3,15,25,1,35,10,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
4668,12,6,7,0,9,40,2,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15554,9,5,7,5,19,0,11,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3971,9,4,5,55,8,35,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3100,3,5,15,0,16,25,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9663,6,5,20,0,10,5,14,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
27430,1,3,23,0,19,15,20,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3540,12,5,5,15,7,40,2,25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10676,21,5,12,0,11,10,23,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
13044,12,6,14,5,8,15,18,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
14388,6,5,20,0,12,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3943,24,6,4,0,6,50,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3597,3,6,14,45,17,5,2,20,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
5932,21,3,11,50,19,50,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10262,15,6,11,30,4,25,16,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
6216,12,5,14,40,17,50,3,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
4804,15,6,20,25,23,10,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14067,21,5,11,30,1,30,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
15129,18,5,19,10,19,0,23,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
13376,6,6,6,45,4,25,21,40,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
10441,27,6,22,0,19,15,21,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
4030,24,5,6,0,8,45,2,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17024,3,3,8,0,18,50,10,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
13017,9,4,17,30,1,30,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
6686,6,6,23,30,7,45,8,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5636,15,6,2,0,7,25,5,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
6442,9,6,7,35,16,10,8,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
9486,21,5,13,5,0,55,11,50,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
10844,21,5,20,0,23,35,27,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
15318,3,6,20,0,4,25,8,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
5117,3,4,12,30,9,25,20,55,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
6147,24,6,15,10,20,0,4,50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
7005,9,6,12,50,21,0,8,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3873,3,4,22,20,0,40,2,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9270,21,3,18,25,18,50,24,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
3898,27,6,11,40,14,30,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14781,12,5,8,25,20,45,12,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8586,24,5,20,0,8,15,12,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10697,9,5,8,20,7,55,23,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
14300,27,6,20,0,12,35,16,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
8855,3,3,18,55,21,45,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10844,12,5,16,30,18,15,25,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
17024,6,3,2,15,4,25,26,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
9314,1,5,9,35,14,25,28,50,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4777,24,3,0,40,3,25,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7662,9,6,12,0,13,15,25,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6442,9,5,6,50,16,10,9,20,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
5264,12,6,8,45,13,15,4,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
12898,27,5,13,0,4,25,15,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
6092,3,3,13,55,15,25,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3311,21,5,5,55,8,35,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6540,27,3,19,15,4,25,9,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3419,27,5,1,30,4,15,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5177,3,4,14,0,12,35,22,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
8246,18,4,18,5,21,10,3,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
14676,9,6,9,35,21,5,11,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
13587,27,6,11,30,21,0,9,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
9663,6,5,21,10,9,20,12,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
13044,12,6,16,30,10,5,17,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5073,3,4,20,25,1,30,5,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
9345,21,5,17,0,18,50,25,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
9663,6,5,14,5,10,5,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
14277,21,5,8,0,21,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
10262,1,6,10,0,4,25,18,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
5678,27,3,19,35,21,5,1,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
13727,15,5,16,0,1,30,9,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
9663,6,5,20,0,12,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3858,12,5,14,45,17,5,2,20,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4812,24,6,8,45,13,15,4,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
5775,27,6,21,50,3,35,5,45,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
10539,6,6,9,35,9,45,24,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4804,3,6,15,30,18,5,2,35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3383,12,6,11,10,13,55,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8738,3,3,12,10,17,5,4,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7165,27,3,5,15,6,50,25,35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
6412,24,6,16,10,22,30,6,20,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
8016,27,6,18,55,22,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11087,12,3,20,35,15,15,18,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3543,27,6,9,45,12,0,2,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
12471,12,6,16,30,4,40,12,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10262,24,6,9,0,4,25,19,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
4441,18,3,13,20,16,10,2,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12537,27,3,7,5,15,30,8,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
10091,24,3,22,25,7,40,9,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6961,3,6,21,5,23,55,2,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5013,24,4,5,35,8,50,3,15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
6934,18,5,5,10,8,0,2,50,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10877,3,6,6,40,19,0,12,20,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
7229,18,4,15,15,18,10,2,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7048,27,3,16,0,1,35,9,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
4878,27,6,17,0,19,35,2,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10844,21,5,14,5,23,35,9,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
15129,18,5,23,5,4,25,29,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
3943,12,5,0,30,3,25,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5583,6,6,6,5,11,20,5,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
9646,6,6,7,5,16,10,9,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
7677,3,6,8,30,19,15,10,45,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
6842,1,6,5,10,10,5,4,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
4995,24,6,8,45,10,15,1,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9555,9,6,7,10,18,50,11,40,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
4077,1,6,1,30,4,15,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7229,12,5,15,15,18,10,2,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12192,9,6,9,0,19,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
